"CODGEO";"POP_MUN";"POP_COM_QP";"POP_COM";"TX_F";"TX_TOT_0A24";"TX_F_0A24";"TX_TOT_60ETPLUS";"TX_F_60ETPLUS";"IND_JEUNE";"TX_TOT_MEN1";"TX_TOT_MEN6";"TX_TOT_ET";"TX_F_ET";"NOTE_RP";"A";"PERCOU";"AM";"AI";"ACSSENF";"ACAVENF";"AC3ENF";"A_NETUD_24";"A_ETUD";"ENF";"ENF_2";"ENF_3_5";"ENF_6_10";"ENF_11_14";"ENF_15_17";"ENF_18_24";"NOTE_CNAF"
"QP013063";5451;7185;26668;49,7;39,8;39,4;20,4;19,4;1,6;27,4;9,2;34,6;31,7;0;1358;3505;259;569;89;441;216;65;;1605;227;239;426;343;217;153;0
"QP013064";2264;6356;76342;61;36,8;36,4;22,8;25,2;1,3;27;;;;0;691;1532;168;343;43;137;64;28;;653;67;79;159;133;113;102;0
"QP013065";1611;2131;61325;54,6;32,9;29,8;25,2;27,5;1,1;38,9;;10,9;10,2;0;629;1198;109;370;47;103;37;21;;418;60;57;104;83;51;63;0
"QP014001";4383;15980;105512;54,5;41,6;33,7;19,4;23,7;1,8;40,2;3,4;16,8;15,3;0;1563;3460;382;777;84;320;135;89;17;1486;228;222;401;273;196;166;0
"QP014002";4099;16223;110466;53;40,7;37,6;17;17,6;2;38,8;3,3;23,8;21,1;0;1414;2661;247;833;113;221;78;160;45;919;129;146;254;160;128;102;0
"QP014003";4429;15996;117079;52,9;37,2;34,7;16,5;19,6;1,9;43,8;;21,8;20,1;0;1801;3288;328;1093;146;234;97;67;6;1121;177;181;300;196;141;126;0
"QP014004";1877;15980;105512;50;36,9;35,8;19,5;21,1;1,6;49,5;;22,9;22,2;0;785;1821;168;398;46;173;92;27;10;812;139;117;198;146;114;98;0
"QP014005";1451;15980;105512;50,8;42,9;37,4;16,7;;2,2;51,4;;;;0;564;1084;105;349;27;83;32;41;66;408;49;73;102;71;66;47;0
"QP014006";1356;1356;6941;53,3;32,4;26,6;27,5;33,1;1;45,8;2,4;6,9;6,1;0;455;978;97;215;42;101;32;36;;382;49;51;96;84;52;50;0
"QP014007";9495;9495;22638;53,7;42,3;38,8;17,4;20,9;1,8;43,4;3,1;13,9;12,6;0;3384;6813;622;1892;239;631;224;308;578;2565;360;395;691;514;337;268;0
"QP014008";922;922;7138;54,2;39,2;34,7;17,9;19,7;1,8;30,2;4,5;4,5;3,3;0;;;;;;;;;;;;;;;;;5
"QP014009";3422;3422;20171;59,7;37,6;31,6;23,7;27,9;1,3;43,5;;6,5;;0;1068;2093;280;589;57;142;51;61;;827;99;110;220;174;141;83;0
"QP015001";1016;1016;25531;50,2;33,1;27,4;;;;43,8;;19,8;16,3;0;352;696;61;204;35;52;23;25;;260;37;43;73;56;28;23;0
"QP016001";3171;7444;41711;54,8;38,4;35,4;20,3;24,9;1,6;47;4,4;26,4;24,1;0;1255;2791;268;654;92;241;101;65;11;1200;204;204;313;205;133;141;0
"QP016002";1978;7444;41711;54,3;33,3;28,7;20,7;22,7;1,3;51,4;3;17;14,2;0;815;1531;158;487;62;108;41;45;;548;99;87;138;103;62;59;0
"QP016003";2295;7444;41711;52,4;40,2;37,6;17,6;20,9;1,7;58,4;;16,5;14,8;0;1035;1977;240;625;51;119;46;129;19;768;143;122;180;138;98;87;0
"QP016004";1320;1320;7759;54,8;39,7;37;18,6;21;1,7;52,7;2,7;7,2;6,4;0;552;1043;140;325;23;64;18;58;19;401;67;56;91;88;65;34;0
"QP016005";3863;3863;9553;55,4;39,4;35,3;19,6;24,1;1,7;44,8;4,3;17,1;16,4;0;1521;3399;319;742;132;328;143;97;;1411;242;221;390;265;158;135;0
"QP016006";1850;1850;18628;55,7;38,3;35,3;;;2,3;48,3;;9,1;8,5;0;713;1478;181;384;35;113;48;55;;614;109;89;163;130;74;49;0
"QP017001";5708;12071;76114;55,4;38,8;34,8;20,3;24,3;1,7;41,3;4,1;12,7;11,3;0;2168;4765;564;1049;123;432;181;106;5;2036;260;316;511;390;328;231;0
"QP017002";4801;12071;76114;51,1;37,1;32,6;18,1;22,5;1,7;44,4;2,8;19,5;18,7;0;2006;4012;404;1107;144;351;130;196;15;1498;227;236;397;262;188;188;0
"QP017003";2168;2168;25148;60,1;32,9;28,1;25,4;31,2;1;57,3;;12,3;10,7;0;994;1808;245;598;50;101;45;68;5;658;95;94;169;126;107;67;0
"QP017004";2345;3340;23583;50,9;28,8;25,2;23,1;28,1;0,9;59,4;;6,9;;0;1057;1693;155;716;83;103;33;132;28;467;60;61;102;112;73;59;0
"QP017005";995;3340;23583;58,6;43,7;40,9;;;2,5;25,3;;;;0;369;918;113;138;19;99;38;30;;423;53;71;124;87;56;32;0
"QP017006";1213;1213;18499;57,3;24,3;21,7;40,4;43,2;;53,6;;4,7;;0;427;766;86;267;18;56;12;18;;263;29;36;65;50;50;33;0
"QP017007";1562;12071;76114;54,2;31,3;27,3;22,9;26,1;1,1;55;0;6,2;;0;699;1117;137;456;35;71;11;47;;319;53;56;71;63;35;41;0
"QP018001";8420;10956;64668;53,3;37,6;34;24;26,7;1,3;44,4;3,4;17,2;18;0;3272;6860;710;1746;230;586;237;249;48;2759;399;478;715;496;364;307;0
"QP018002";2536;10956;64668;53,6;35,7;30,8;;;1,9;48,3;;11,8;9,2;0;1039;2059;300;555;50;134;39;77;;841;134;155;209;151;112;80;0
"QP018003";1361;1361;9531;53,8;31;26,7;23,9;29,1;0,9;57,4;;5;;0;587;972;98;390;35;64;21;43;9;297;41;41;78;52;50;35;0
"QP018004";4005;4005;25725;54,1;33,4;30,2;22,3;27,2;1,2;55,3;;23,8;20,6;0;1573;2853;288;989;108;188;77;158;29;987;171;140;261;196;127;92;0
"QP019001";1450;5770;46630;57,3;37,7;30,6;25,3;32,1;1,3;38,5;;5,3;;0;376;751;86;213;24;53;16;25;;300;30;42;86;69;38;35;0
"QP019002";2668;5770;46630;53,1;36,4;33;22,9;26,9;1,4;38,2;2,8;27;25,8;0;795;2022;129;311;88;267;101;32;;866;140;166;230;164;100;66;0
"QP019003";1652;5770;46630;54,8;42,3;39,3;18,9;21,1;1,8;42,8;;24,7;22,5;0;560;1280;102;274;53;131;59;52;8;545;72;97;152;115;65;44;0
"QP021001";1477;1477;20711;51,5;33,6;29,6;16,4;;1,7;40,9;;17,5;16,3;0;521;1065;114;268;30;109;41;27;;408;54;67;115;86;48;38;0
"QP021002";5037;5037;14216;55,7;35,8;33,6;24,6;26,9;1,3;38,2;5;28,7;28,8;0;1562;3917;235;683;164;480;248;83;;1730;253;266;465;357;230;159;0
"QP021003";6952;11132;156854;52,9;39,1;36;20,6;23,2;1,6;34,7;5;21,6;20,4;0;1980;4816;423;898;147;512;243;116;12;2176;312;335;561;414;317;237;0
"QP021004";4180;11132;156854;51,2;35,9;35,3;18,9;19,1;1,6;43,9;3,8;31,7;30,7;0;1638;3473;182;895;176;385;172;71;100;1268;238;240;338;236;129;87;0
"QP021005";1134;1134;8416;51,4;36,1;35,1;20,3;22,1;1,5;44,1;4,2;27,8;28,6;0;418;940;73;206;42;97;39;21;;375;60;69;89;76;47;34;0
"QP021006";3219;3219;11630;53,1;44;40,4;13,4;13,5;2,7;40,3;7;19,9;18,4;0;1052;2294;246;516;66;224;86;65;;960;152;180;241;159;123;105;0
"QP022001";937;1932;20040;61,4;30,5;26,4;29,5;34,4;0,9;59,2;;;;0;394;674;93;243;22;36;10;24;;221;33;34;52;40;38;24;0
"QP022002";995;1932;20040;43,9;28,2;;;;;70;;10,6;;0;471;727;71;342;18;40;12;38;16;197;25;32;55;34;33;18;0
