CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
30014;Arpaillargues-et-Aureillac;438;1081;728,9;;19483,5;;;;;;;;;;;;;;;;;;;;;;
30015;Arphy;84;164;121,4;;16836,4;;;;;;;;;;;;;;;;;;;;;;
30016;Arre;145;322;222,6;;16118,7;;;;;;;;;;;;;;;;;;;;;;
30017;Arrigas;91;196;139,0;;17837,5;;;;;;;;;;;;;;;;;;;;;;
30018;Aspères;208;520;346,2;;20317,3;;;;;;;;;;;;;;;;;;;;;;
30019;Aubais;1047;2605;1740,3;15708,7;21914,0;29751,3;14042,6;11618,1;14276,5;16790,5;19369,6;24727,0;27722,6;32793,3;41697,0;3,6;4,3;0,3;65,1;6,4;27,6;14,8;3,7;1,8;1,1;0,8;-17,6
30020;Aubord;897;2466;1595,4;16229,5;21011,1;27201,4;10971,9;12032,7;15272,4;17210,5;19205,2;23241,3;25631,0;29309,2;34779,3;2,9;3,4;0,2;70,8;5,3;26,6;9,3;4,3;2,3;1,0;1,0;-16,3
30021;Aubussargues;127;304;207,1;;19332,6;;;;;;;;;;;;;;;;;;;;;;
30022;Aujac;80;163;116,9;;14838,0;;;;;;;;;;;;;;;;;;;;;;
30023;Aujargues;366;875;594,6;;20539,0;;;;;;;;;;;;;;;;;;;;;;
30024;Aulas;219;452;322,9;;18310,0;;;;;;;;;;;;;;;;;;;;;;
30025;Aumessas;116;216;161,1;;15107,2;;;;;;;;;;;;;;;;;;;;;;
30026;Avèze;496;1060;746,8;;18108,0;;;;;;;;;;;;;;;;;;;;;;
30027;Bagard;1003;2504;1676,4;14049,5;19389,0;25089,0;11039,5;10410,7;12934,7;15168,0;17080,7;21245,0;23730,0;26575,0;31750,0;3,0;3,9;0,3;57,3;5,4;34,3;12,9;5,7;2,5;1,8;1,4;-15,6
30028;Bagnols-sur-Cèze;8274;18328;12709,1;12352,0;17356,0;23651,2;11299,2;8854,8;11262,2;13283,0;15332,0;19622,0;22230,7;25752,7;32243,2;3,6;4,3;0,3;59,4;5,0;33,7;7,7;9,0;2,9;3,2;2,9;-14,8
30029;Barjac;726;1487;1066,4;;17302,8;;;;;;;;;;;;;;;;;;;;;;
30030;Baron;143;338;227,8;;18817,7;;;;;;;;;;;;;;;;;;;;;;
30031;La Bastide-d'Engras;89;182;132,3;;19217,9;;;;;;;;;;;;;;;;;;;;;;
30032;Beaucaire;6394;15820;10497,7;11525,0;16138,9;21721,1;10196,1;8283,2;10576,9;12365,0;14183,5;18096,0;20260,3;23514,8;28587,3;3,5;4,2;0,3;61,0;5,9;27,4;8,2;10,7;3,6;3,9;3,2;-13,2
30033;Beauvoisin;1875;4867;3164,8;14922,2;19563,5;25104,5;10182,3;11400,7;13756,2;15941,3;17903,9;21575,0;23754,5;26651,3;32313,3;2,8;3,3;0,2;73,6;4,4;22,6;8,1;5,8;3,1;1,3;1,4;-14,5
30034;Bellegarde;2628;6768;4445,4;13973,8;18844,6;24664,4;10690,6;10296,7;12788,1;14966,0;16883,3;20956,7;23251,0;26122,0;30944,8;3,0;3,6;0,2;67,6;6,0;26,1;8,3;6,2;2,8;1,7;1,7;-14,2
30035;Belvézet;107;237;166,2;;17274,0;;;;;;;;;;;;;;;;;;;;;;
30036;Bernis;1329;3292;2194,5;15362,9;20017,0;25836,1;10473,3;11906,2;14459,5;16464,7;18260,6;21996,0;24512,0;27674,0;33130,5;2,8;3,4;0,2;65,0;5,2;31,0;9,6;4,7;2,3;1,2;1,2;-15,5
30037;Bessèges;1423;2682;1988,6;11242,2;15006,0;20466,0;9223,8;8377,1;10138,0;12138,3;13538,7;16838,0;19143,3;21798,0;26244,7;3,1;3,8;0,3;36,6;3,8;50,1;8,4;11,6;2,3;5,3;3,9;-10,5
30038;Bez-et-Esparon;171;355;254,5;;17286,4;;;;;;;;;;;;;;;;;;;;;;
30039;Bezouce;930;2294;1535,2;15014,0;19499,1;24226,0;9212,0;11445,3;13750,0;15664,2;17362,2;21224,7;23157,1;26276,0;32126,5;2,8;3,5;0,2;63,1;6,6;29,3;9,4;5,4;2,5;1,5;1,4;-13,8
