CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
34217;Prades-le-Lez;2228;5550;3692,2;18221;23921;30804;12583;13376;16847;19475;21490;26069;28906;32850;40499;3,0;3,572;0,249;80,8;70,9;3,3;6,6;24,5;9,8;3,7;1,7;1,1;0,8;-18,8
34218;Prades-sur-Vernazobre;140;300;214,7;;19036;;;;;;;;;;;;;;;;;;;;;;;;
34219;Prémian;243;492;355,8;;17891;;;;;;;;;;;;;;;;;;;;;;;;
34220;Le Puech;110;243;170,6;;19294;;;;;;;;;;;;;;;;;;;;;;;;
34221;Puéchabon;200;477;322,2;;17987;;;;;;;;;;;;;;;;;;;;;;;;
34222;Puilacher;200;594;369,0;;18769;;;;;;;;;;;;;;;;;;;;;;;;
34223;Puimisson;464;1060;732,1;;20095;;;;;;;;;;;;;;;;;;;;;;;;
34224;Puissalicon;556;1361;908,7;;20672;;;;;;;;;;;;;;;;;;;;;;;;
34225;Puisserguier;1317;2952;2052,5;13707;18134;23805;10098;9885;12831;14543;16311;20446;22407;25386;31894;3,2;3,885;0,265;61,9;47,7;4,4;9,8;37,7;9,3;5,6;1,9;2,1;1,6;-14,5
34226;Quarante;737;1694;1156,3;;18203;;;;;;;;;;;;;;;;;;;;;;;;
34227;Restinclières;672;1788;1164,2;;24033;;;;;;;;;;;;;;;;;;;;;;;;
34229;Riols;363;785;553,7;;18102;;;;;;;;;;;;;;;;;;;;;;;;
34230;Les Rives;64;135;95,7;;22228;;;;;;;;;;;;;;;;;;;;;;;;
34232;Roquebrun;287;558;409,1;;17219;;;;;;;;;;;;;;;;;;;;;;;;
34233;Roqueredonde;70;142;101,6;;14734;;;;;;;;;;;;;;;;;;;;;;;;
34234;Roquessels;48;108;75,0;;15986;;;;;;;;;;;;;;;;;;;;;;;;
34235;Rosis;142;273;203,5;;18007;;;;;;;;;;;;;;;;;;;;;;;;
34237;Roujan;994;2132;1508,4;13741;18800;25123;11382;10032;12773;14562;16835;21131;23649;26749;32189;3,2;3,865;0,263;54,1;42,3;4,4;7,4;42,9;11,1;6,2;2,0;2,5;1,7;-14,3
34239;Saint-André-de-Sangonis;2318;5774;3817,3;14606;19331;24948;10342;10839;13457;15690;17461;21388;23643;26500;31910;2,9;3,433;0,241;72,6;62,9;4,3;5,5;26,8;8,2;7,0;3,2;2,2;1,6;-14,6
34240;Saint-Aunès;1340;3376;2247,7;18475;24346;32724;14249;13945;17181;19664;22011;27129;30433;35052;42658;3,1;4,015;0,275;82,5;68,8;3,2;10,5;24,1;10,4;3,1;1,5;1,0;0,6;-20,1
34241;Saint-Bauzille-de-la-Sylve;344;831;562,2;;21027;;;;;;;;;;;;;;;;;;;;;;;;
34242;Saint-Bauzille-de-Montmel;403;1044;687,5;;24171;;;;;;;;;;;;;;;;;;;;;;;;
34243;Saint-Bauzille-de-Putois;810;1938;1295,3;;19330;;;;;;;;;;;;;;;;;;;;;;;;
