codgeo;libgeo;an;p_licsport014_f
02354;Grandrieux;2018;25,00
02355;Gricourt;2018;23,90
02356;Grisolles;2018;40,00
02357;Gronard;2018;100,00
02358;Grougis;2018;38,90
02359;Grugies;2018;23,00
02360;Villeneuve-sur-Aisne;2018;42,50
02361;Guise;2018;42,30
02362;Guivry;2018;29,40
02363;Guny;2018;33,30
02364;Guyencourt;2018;43,80
02366;Hannapes;2018;26,70
02367;Happencourt;2018;12,50
02368;Haramont;2018;50,00
02369;Harcigny;2018;25,00
02370;Hargicourt;2018;39,10
02371;Harly;2018;31,40
02372;Hartennes-et-Taux;2018;46,20
02373;Hary;2018;70,60
02374;Lehaucourt;2018;25,60
02375;Hautevesnes;2018;66,70
02376;Hauteville;2018;50,00
02377;Haution;2018;0,00
02378;La Hérie;2018;50,00
02379;Le Hérie-la-Viéville;2018;33,30
02380;Hinacourt;2018;0,00
02381;Hirson;2018;45,20
02382;Holnon;2018;31,40
02383;Homblières;2018;23,50
02384;Houry;2018;0,00
02385;Housset;2018;22,20
02386;Iron;2018;20,00
02387;Itancourt;2018;36,40
02388;Iviers;2018;50,00
